COD_CURSO,CURSO,SETOR_CURSO
40001016027G0,ENGENHARIA AMBIENTAL E SANITÁRIA  - Presencial - Pontal do Paraná,CENTRO DE ESTUDOS DO MAR
40001016047G0,FILOSOFIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS HUMANAS
40001016030G0,ENGENHARIA CIVIL  - Presencial - Curitiba,SETOR DE TECNOLOGIA
40001016005G0,ARQUITETURA E URBANISMO  - Presencial - Curitiba,SETOR DE TECNOLOGIA
40001016076G0,MEDICINA VETERINÁRIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS AGRÁRIAS
40001016006G0,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016042G0,ENGENHARIA MECÂNICA  - Presencial - Curitiba,SETOR DE TECNOLOGIA
40001016111G0,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016052G0,FISIOTERAPIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016022G0,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016044G0,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016078G0,MÚSICA  - Presencial - Curitiba,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016001G0,ADMINISTRAÇÃO  - Presencial - Curitiba,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016054G0,GEOGRAFIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS DA TERRA
40001016112G0,TERAPIA OCUPACIONAL  - Presencial - Curitiba,SETOR DE CIÊNCIAS DA SAÚDE
40001016067G0,LETRAS  - Presencial - Curitiba,SETOR DE CIÊNCIAS HUMANAS
40001016049G0,FÍSICA  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016012G0,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016124G0,AGROECOLOGIA  - Presencial - Matinhos,SETOR LITORAL
40001016028G0,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA  - Presencial - Curitiba,SETOR DE CIÊNCIAS DA TERRA
40001016003G0,AGRONOMIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS AGRÁRIAS
40001016039G0,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,SETOR DE TECNOLOGIA
40001016082G0,PEDAGOGIA  - Presencial - Curitiba,SETOR DE EDUCAÇÃO
